id,channel,title,duration,matched
yisICajRBMs,aiTunes,Rock Power Ballad about Making Pancakes • AI Generated,160,ai generated
KpFAm8EDdrc,Vestige,Always Yours | AI Generated AOR Rock Ballad #hardrock #rockmusic #rock,217,ai generated
BM9ZowG-f44,Alasanders AI Music Vault,The Shape of Missing You 💔 Emotional AI Love Ballad,285,suno
5C71cnAxqQQ,7Muzik Heartbreak,The Goodbye I Never Got – No Last Words | Heartbreaking Ballad | AI-Generated Lyrics,260,ai generated
-SnV_aBk9V8,Alasanders AI Music Vault,Missing You Every Day | AI Generated R&B Ballad About Long Distance Love,238,suno
TAdIfNizLh4,VibeCraft Music Studio,VibeCraftS - Falling Through the Stars – Emotional Rock Ballad Duet (Official AI Music Video),229,ai generated
yQsj6FuqlHg,SteveMusicAI,I'd Choose You | AI-Generated Music – Emotional Love Ballad,228,ai generated
PHYX85PKV1o,Matt Koenig,Whiskey Prison Blues - Heartfelt Country Ballad (AI Song),272,ai generated
5FjFTe2rmc4,MCM54,"If I Could Hold You – Emotional Pop Ballad (AI-Generated, No Copyright)",218,ai generated
qauj6BN00sY,Metal Inferno,Forever in Our Fire | AI-Generated Power Ballad ❤️ Emotional Metal Love Song 2025,187,suno
89KfZMNZhm0,Whispers of Old Worlds ,Letters Never Sent | Emotional Love Song 2026 | Original AI Ballad,228,ai generated
ZS1jSJdG53w,F.S-AI,The Life We’ve Lived 🌅 | Emotional AI-Generated Country Ballad About Family & Time,206,ai generated
ozFTsSbI9fo,MCM54,"Dust on My Boots – Indie Folk Ballad (No Copyright, AI-Generated Folk Music)",231,ai generated
0EySnrYPD2o,F.S-AI,“Fall Apart Without You 💔 | Emotional AI-Generated Soul Pop Ballad”,216,ai generated
Q-oVIVqMeDY,Legends Never Die Music,I'm Still Here | George Michael Inspired Emotional Pop Ballad (AI Original Song),254,ai music
g1sMmYIODLo,VibeCraft Music Studio,VibeCraftS - Shadows Into Light | Epic AI-Generated Rock Ballad Duet (Official Music Video),238,ai generated
iJq0xLGl8QI,MCM54,"Falling Through – A haunting Acoustic Ballad (AI-Generated, Free to Use)",173,ai generated
7Wk7EjLq4hw,Giovanni,🔥 Eternal Flame – 80s‑Style AI Rock Power Ballad 🎸 - Ai Generated ( Official Release ),289,ai generated
kc2V_kASg-g,AIlove,Forever Yours – AIlove | Romantic 80s Ballad (AI Love Song),188,ai generated
O6kZGxtO-pY,AEROwave Original,Hold You Tonight - A Deeply Moving AI-generated pop rock ballad,205,ai generated
7dOt_snnQ1E,Mavie A. I. Music,Edge of Dreams | AI-Generated Cinematic Pop Ballad,190,ai generated
HF_1ZnkAjP4,Helio432hz,"Can AI Make INSANE EDM Drops? 🤖 | SunoV5 AI Showcase (Color Bass, Future Bounce & More)",223,suno
gbvzq5xHzcM,Kelly Boesch AI Art,Creative AI Dance Video - I’m Living In Color - Kelly Boesch | 4k,167,suno
V0YtEbI_GcM,Kelly Boesch AI Art,Futuristic AI Dance Video - Rhythm - Kelly Boesch | 4K,159,suno
NZoBFDJnF7A,HyperReal,AI Death Metal || Hyper Realistic Music Video || AI Generated,122,ai generated
_AQvvFQbmZI,Son of the Dead Sun,Ashes of Man - The World Burns | Post-Apocalyptic Metal Dark Cinematic,257,ai generated
XiBSy1ZcbmQ,Digital Distortions,I’m Freezing – The Hog Lords Awakening | Cinematic AI Metal Music Video,248,suno
nXW1N_yCWt4,Metal Machine -AI Metal Music Channel-,Thrash Metal! 【AI Generated Heavy Metal Music】,158,suno
RP1OiUV13KQ,Doopiidoo,Wandering (Full Song),240,suno
zTG1Nb1hND0,Kirt Connor,MetallicAI: I made a bot write a Metallica song,210,ai song
fVGdqomMoVc,Scordalus,The Last Will - Scordalus (Gothic Metal Official AI Music Video),267,ai music
wrrXXyiI344,Scordalus,LOCKDOWN – Scordalus (Official AI Music Video) | Goth Rock Metal Anthem,227,ai music
mgD1kBRLh5k,Digital Distortions,Christmas Overdrive | Cinematic AI Metal Music Video,178,suno
1tBGKQPTlqw,Scordalus,Scordalus - Sanctified in Sin (Gothic Metal Official AI Music Video),265,ai music
DPL7Ag0CgN8,おっさんメタル,Heavy Metal (Hellbound Train),216,ai music
pAl-38CyCi0,H.AI.R METAL,"H.AI.R METAL - BREAKING THROUGH (80's Hair Metal, Melodic Rock, heavy metal)",241,udio
